LocationId,Name,DistrictId
1,Bobirwa,5
2,Boteti,5
3,Lerala,5
4,Mahalapye,5
5,Mmadinare,5
6,Mmaphashalala,5
7,Mogorosi,5
8,Nata,5
9,Paje,5
10,Rakops,5
11,Sebina,5
12,Sefhare,5
13,Serowe,5
14,Palapye,5
15,Shoshong,5
16,Taupye,5
17,Tonota,5
18,Tutume,5
19,Charleshill,9
20,Ghanzi,9
21,Hukuntsi,10
22,Kang,10
23,Mmathubudukwane,4
24,Mochudi,4
25,Letlhakeng,3
26,Molepolole,3
27,Francistown,6
28,Masunga,6
29,Ngamiland East,7
30,Ngamiland West,7
31,Okavango,7
32,Mogobane,2
33,Gaborone,2
34,Otse,2
35,Ramotswa,2
36,Tlokweng,2
37,Goodhope,1
38,Jwaneng,1
39,Kanye,1
40,Mabutsane,1
41,Moshupa,1
42,Bokaa,4
43,Metsimotlhabe,3
44,Mmopane,3
45,Oodi,4
46,Rasesa,4
47,Thamaga,3
48,Sandveld,5
50,Tshabong,10
51,Lobatse,1
52,Gabane,3
53,Mogoditshane,3
54,Matebele,4
55,Kopong,3
56,Matseta,3
57,Mokatse,4
58,Modipane,4
59,Tloaneng,4
60,Artesia,4
61,Karakubisi,9
62,Gakutlo,9
63,Morwa,4
64,Ranaka,2
65,Mookolodi,2
66,Kgope,3
67,Mmanoko,3
68,Pitsane,2
69,Mathethe,1
70,Lotlhakane,1
71,Gamodubo,3
72,Sese,1
73,Leshibetse,4
74,Pilane,4
75,Malotwane,4
76,Kgomodiatshaba,4
77,Ditshekwane,3
78,Mmashia,2
79,Diphiring,2
80,Digagwana,1
81,South East,2
82,Kgatleng,2
83,Kweneng,2
84,Lorolwane,2
85,Tswaneng,2
86,Molapowabojang,2
87,Lokgwabe,10
88,Kanngwe,2
89,Selebi Phikwe,
90,Maun,
91,Kasane,8
92,Kazungula,8
93,Shakawe,7
94,Central District,5
95,Tati Siding,6
96,Mathangwane,5
97,Samedupi,7
98,Bobonong,5
99,Gumare,7
100,North East,6
101,Mopipi,5
102,HainaVeld,7
103,Muchenje,8
104,Xobe,7
105,Moinyabana,5
106,Metsimaswaana,5
107,Chobe District,8
108,Mogapinyana,5
109,Makoro,5
110,Rakops,5
111,Chimochima,7
112,Sowa,6
113,Pilikwe,5
114,Tuli Block,5
115,Chanoga,7
116,Dukwi,6
117,Kalamare,5
118,Borolong,6
119,Kaka,5
120,Makalamabedi,7
121,Xudum,7
122,Motloutse,5
123,Matlapana,7
124,Lesoma,8
125,Shashe Mooke,5
126,Matlapeng,7
127,Matshelagamapedi,5
128,Phandamatenga,8
129,Mosu,5
130,Sexaxa,7
131,Lecheng,5
132,Eretsha,7
133,Topisi,5
